1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
12 	222.3615	204.6392	183.5227	219.9738	176.2819	176.5878	149.1494	140.9251	130.1071	75.8659	37.9135	0.0000	59.7700	119.5028	170.2961	145.4326	218.9211	242.4718	225.4653	269.4580	
14 	160.2847	141.2972	127.6723	150.0851	129.6963	130.0021	109.0122	94.3394	82.7420	127.7566	83.3730	119.5028	59.7328	0.0000	132.9808	67.4166	149.0324	185.1448	169.6148	212.1311	
16 	92.8681	73.8806	60.2557	82.6685	62.2797	62.5855	41.5956	26.9228	15.3254	69.5667	113.9503	145.4326	127.1494	67.4166	65.5642	0.0000	81.6158	117.7282	102.1982	144.7145	
21 	192.9344	173.9469	160.3219	182.7348	162.3459	162.6518	141.6619	126.9891	115.3917	95.1069	50.7233	86.8532	27.0831	32.6497	165.6305	100.0663	181.6821	217.7945	202.2645	244.7808	
22 	210.9621	191.9747	178.3497	200.7626	177.4952	177.8011	150.3627	142.1384	131.3205	77.0792	32.6956	68.8254	9.0554	50.6774	171.5094	118.0940	199.7098	235.8223	220.2923	262.8085	
23 	225.0175	206.0300	192.4051	214.8179	191.5506	191.8565	164.4181	156.1938	145.3759	91.1346	46.7510	64.7700	5.0000	64.7328	185.5648	132.1494	213.7652	249.8776	234.3476	276.8639	
24 	228.9320	211.2097	190.0932	226.5443	182.8524	183.1583	155.7199	147.4956	136.6776	82.4364	38.0527	35.9163	23.8537	83.5865	176.8666	151.0031	225.4916	249.0423	232.0358	276.0286	
28 	190.0116	172.2893	151.1728	162.2691	113.0687	113.3745	85.7022	102.2803	97.7572	141.9486	186.3323	217.8145	228.0832	180.4992	47.5184	113.0826	186.5712	210.1219	193.1153	230.1082	
29 	195.1581	177.4358	156.3192	155.3534	106.1529	106.4588	80.1546	104.9318	107.2441	151.4355	195.8191	227.3013	237.5700	189.1668	57.0053	121.7502	195.2387	215.2683	198.2618	223.1925	
30 	120.8344	103.1121	81.9956	81.0298	31.8293	32.1352	5.8310	30.6082	34.9230	79.1145	123.4981	154.9803	165.2490	114.8432	44.0147	47.4265	120.9151	140.9447	123.9382	148.8689	
38 	58.8093	39.8219	60.9384	48.6098	94.2112	94.5170	73.5271	58.8543	47.2569	101.4982	145.8818	177.3641	161.2082	101.4754	97.4957	34.0588	47.5570	83.6695	76.3928	110.6557	
48 	118.5011	103.0954	81.9788	73.9587	24.7583	25.0641	12.9020	30.9947	41.9941	86.1855	130.5691	162.0514	172.3201	121.9142	51.0858	54.4976	127.9862	136.9926	119.9861	141.7978	
62 	48.8522	60.3507	43.9339	3.5000	52.5507	53.3733	79.9172	86.7728	93.3667	147.6080	191.9916	223.4738	213.3179	153.5851	118.1010	86.1685	78.2052	67.3436	50.3371	64.4888	
