1	413	359	A	1.7
2	403	343	A	2.1
3	383.5	351	A	2.2
4	381	377.5	A	1.7
5	339	376	A	2.1
6	335	383	A	2.5
7	317	362	A	2.4
8	334.5	353.5	A	2.4
9	333	342	A	2.1
10	282	325	A	1.6
11	247	301	A	2.6
12	219	316	A	2.4
13	225	270	A	2.2
14	280	292	A	2.5
15	290	335	A	2.1
16	337	328	A	2.6
17	415	335	A	2.5
18	432	371	A	1.9
19	418	374	A	1.8
20	444	394	A	1.9
21	251	277	A	1.4
22	234	271	A	1.4
23	225	265	A	2.4
24	212	290	A	1.1
25	227	300	A	1.6
26	256	301	A	1.2
27	250.5	306	A	0.8
28	243	328	A	1.3
29	246	337	A	1.4
30	314	367	A	2.1
31	315	351	A	1.6
32	326	355	A	1.5
33	327	350	A	1.4
34	328	342.5	A	1.7
35	336	339	A	1.4
36	336	334	A	1.1
37	331	335	A	0.1
38	371	330	A	1.2
39	371	333	A	1.4
40	388.5	330.5	A	1.7
41	411	327.5	A	1.4
42	419	344	A	1.4
43	411	343	A	1.7
44	394	346	A	1.1
45	342	342	A	1.4
46	342	348	A	1.2
47	325	372	A	1.6
48	315	374	A	1.4
49	342	372	A	1.2
50	345	382	A	1.1
51	348.5	380.5	A	0.8
52	351	377	A	0.6
53	348	369	A	1.4
54	370	363	A	0.9
55	371	353	A	1
56	354	374	A	0.5
57	363	382.5	A	0.8
58	357	387	A	1.1
59	351	382	A	0.9
60	369	388	A	0.7
61	335	395	A	0.6
62	381	381	A	1.2
63	391	375	A	1.4
64	392	366	A	0.8
65	395	361	A	0.7
66	398	362	A	0.8
67	401	359	A	0.8
68	405	360	A	0.9
69	410	355	A	1.1
70	408	350	A	0.9
71	415	351	A	1.1
72	418	347	A	0.8
73	422	354	A	0.9
74	418.5	356	A	1.1
75	405.5	364.5	A	0.8
76	405	368	A	1.1
77	409	370	A	0.8
78	417	364	A	0.8
79	420	370	A	0.8
80	424	372	A	0.8
81	438	368	A	1.4
82	438.5	373	A	1.1
83	434	376	A	0.9
84	438	385	A	1
85	440	392	A	1.2
86	447	392	A	1.4
87	448	381	A	1.1
88	444.5	383	A	0.9
89	441	385	A	1.4
90	440.5	381.5	A	0.9
91	445	380	A	0.9
92	444	360	A	0.8
